id_order,year_month,order_total_paid,product_name,product_url_img
102290375,2020-08,2.29,offer of 10 gold bars,https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/f3/b9/29/f3b92904-870d-86f5-9754-9f1732af12d5/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-85-220.png/128x128bb-80.jpg
97804824,2020-06,15.99,netflix 4 ecrans - streaming illimite (renouvellement automatique),https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/0d/f4/1f/0df41f26-2ecd-9592-8275-4e632079cb3f/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/128x128bb-80.jpg
98656216,2020-03,4.99,tinder plus (renouvellement automatique),https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/29/79/cb/2979cb71-20c5-4fd2-1c16-85f2caf8c6c9/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/128x128bb-80.jpg
99553560,2020-04,15.99,4 ecrans a la fois (renouvellement automatique),https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/94/6b/2b/946b2bd8-0660-4317-7016-2d85a2a782e7/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/128x128bb-80.jpg
100058138,2020-03,24.99,canal+ pack canal+ (1 stream) (renouvellement automatique),https://is3-ssl.mzstatic.com/image/thumb/Purple113/v4/04/3a/95/043a9500-fbfd-625c-182e-33f34bcdb312/CPAppIcon-0-0-1x_U007emarketing-0-0-0-6-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/128x128bb-80.jpg
97313365,2020-05,11.99,netflix 2 ecrans - streaming illimite (renouvellement automatique),https://is1-ssl.mzstatic.com/image/thumb/Purple123/v4/96/e4/91/96e49199-6ce0-3f7e-d737-e8be719e4e78/AppIcon-1x_U007emarketing-0-10-0-0-0-85-220-0.png/128x128bb-80.jpg
109178802,2020-08,11.99,netflix 2 ecrans - streaming illimite (renouvellement automatique),https://is4-ssl.mzstatic.com/image/thumb/Purple114/v4/72/9b/3e/729b3ea1-d140-af0e-078a-5df609b3abc7/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/128x128bb-80.jpg
111165744,2020-09,5.49,gold pass,https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/84/c3/4b/84c34b07-9742-8f7e-c16c-448da87b5d56/AppIcon-0-0-1x_U007emarketing-0-0-0-6-0-85-220.png/128x128bb-80.jpg
98028927,2020-03,15.99,netflix 4 screens - unlimited streaming (renouvellement automatique),https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/c8/67/bc/c867bcfa-7066-5ee5-22f3-f1f567353fa7/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/128x128bb-80.jpg
99050088,2020-03,1.09,poignee de pieces,https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/d9/ab/ba/d9abba90-082b-5f62-e724-8554732ed3c8/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-85-220.png/128x128bb-80.jpg
